Metric	isotype	subsampled	Broad_Metric	Include_Metric
V_gene_replacement_frequency__IGHG2	IGHG2	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHM	IGHM	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHEP2	IGHEP2	NA	V_gene_replacement_frequency	0
V_gene_replacement_frequency__IGHGP	IGHGP	NA	V_gene_replacement_frequency	0
V_gene_replacement_frequency__IGHE	IGHE	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHG4	IGHG4	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHG3	IGHG3	NA	V_gene_replacement_frequency	1
v_gini_Subsampled__all	all	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHA1	IGHA1	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHA2	IGHA2	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHD	IGHD	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHG1	IGHG1	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHG2	IGHG2	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHG3	IGHG3	YES	v_gini_Subsampled	1
v_gini_Subsampled__IGHM	IGHM	YES	v_gini_Subsampled	1
v_renyi_normalised_Subsampled__all	all	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHA1	IGHA1	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHA2	IGHA2	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHD	IGHD	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHG1	IGHG1	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHG2	IGHG2	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHG3	IGHG3	YES	v_renyi_normalised_Subsampled	1
v_renyi_normalised_Subsampled__IGHM	IGHM	YES	v_renyi_normalised_Subsampled	1
V4_34_AVY_NHS_unmut__class_switched	NA	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHA1	IGHA1	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHA2	IGHA2	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHD	IGHD	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHDM	NA	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHG1	IGHG1	NA	V4_34_AVY_NHS_unmut	1
